import time: self [us] | cumulative | imported package
import time:       349 |        349 |                               numpy.random._philox
import time:       308 |        308 |                               numpy.random._sfc64
import time:       912 |        912 |                               numpy.random.mtrand
import time:       229 |       3495 |                             numpy.random._pickle
import time:       245 |       6727 |                           numpy.random
import time:       164 |        164 |                             numpy.f2py.diagnose
import time:       405 |        405 |                               pprint
import time:       233 |        233 |                               numpy.f2py._backends
import time:       275 |        275 |                               numpy.f2py.__version__
import time:       348 |        348 |                                 numpy.f2py.cfuncs
import time:      1317 |       1664 |                               numpy.f2py.auxfuncs
import time:       926 |        926 |                                 numpy.f2py.cb_rules
import time:       188 |        188 |                                 numpy.f2py._isocbind
import time:       247 |        247 |                                   fileinput
import time:        49 |         49 |                                   charset_normalizer
import time:       743 |        743 |                                   numpy.f2py.symbolic
import time:      5404 |       6442 |                                 numpy.f2py.crackfortran
import time:       505 |       8060 |                               numpy.f2py.capi_maps
import time:       230 |        230 |                                 numpy.f2py.func2subr
import time:       324 |        553 |                               numpy.f2py.f90mod_rules
import time:       244 |        244 |                                 numpy.f2py.common_rules
import time:       128 |        128 |                                 numpy.f2py.use_rules
import time:      2787 |       3159 |                               numpy.f2py.rules
import time:       380 |      14726 |                             numpy.f2py.f2py2e
import time:       226 |      15115 |                           numpy.f2py
import time:       322 |        322 |                               numpy.polynomial.polyutils
import time:       332 |        332 |                               numpy.polynomial._polybase
import time:       389 |       1042 |                             numpy.polynomial.chebyshev
import time:       328 |        328 |                             numpy.polynomial.hermite
import time:       292 |        292 |                             numpy.polynomial.hermite_e
import time:       275 |        275 |                             numpy.polynomial.laguerre
import time:       297 |        297 |                             numpy.polynomial.legendre
import time:       337 |        337 |                             numpy.polynomial.polynomial
import time:       262 |       2830 |                           numpy.polynomial
import time:       195 |        195 |                           numpy.rec
import time:       172 |        172 |                             numpy.core._utils
import time:       197 |        368 |                           numpy.core
import time:       866 |        866 |                               numpy._core.strings
import time:       156 |        156 |                               numpy.strings
import time:       674 |       1695 |                             numpy._core.defchararray
import time:       227 |       1922 |                           numpy.char
import time:      3015 |       3015 |                             numpy.ma.core
import time:       694 |        694 |                             numpy.ma.extras
import time:       208 |       3916 |                           numpy.ma
import time:       359 |        359 |                             numpy.ctypeslib._ctypeslib
import time:       127 |        485 |                           numpy.ctypeslib
import time:       296 |        296 |                                 unittest.util
import time:       353 |        648 |                               unittest.result
import time:       519 |        519 |                                 difflib
import time:       573 |       1092 |                               unittest.case
import time:       305 |        305 |                               unittest.suite
import time:       494 |        494 |                               unittest.loader
import time:       166 |        166 |                                   unittest.signals
import time:       274 |        439 |                                 unittest.runner
import time:       269 |        708 |                               unittest.main
import time:       229 |       3473 |                             unittest
import time:       132 |        132 |                             numpy.testing._private
import time:        97 |         97 |                             numpy.testing.overrides
import time:        49 |         49 |                                 gc
import time:      3532 |       3580 |                               numpy.testing._private.utils
import time:       253 |       3832 |                             numpy.testing._private.extbuild
import time:       148 |       7681 |                           numpy.testing
import time:       533 |        533 |                             scipy._external.array_api_compat.common._aliases
import time:       186 |        186 |                             scipy._external.array_api_compat.numpy._typing
import time:       727 |       1444 |                           scipy._external.array_api_compat.numpy._aliases
import time:       255 |        255 |                           scipy._external.array_api_compat.numpy._info
import time:       605 |        605 |                             scipy._external.array_api_compat.common._linalg
import time:       407 |       1011 |                           scipy._external.array_api_compat.numpy.linalg
import time:       158 |        158 |                             scipy._external.array_api_compat.common._fft
import time:       290 |        447 |                           scipy._external.array_api_compat.numpy.fft
import time:       762 |      44608 |                         scipy._external.array_api_compat.numpy
import time:       191 |        191 |                               scipy._external.array_api_extra._lib
import time:       133 |        133 |                                   scipy._external.array_api_extra._lib._utils
import time:       271 |        271 |                                       scipy._lib._array_api_override
import time:       105 |        376 |                                     scipy._external._array_api_compat_vendor
import time:       145 |        520 |                                   scipy._external.array_api_extra._lib._utils._compat
import time:       104 |        104 |                                     scipy._external.array_api_extra._lib._utils._typing
import time:       363 |        466 |                                   scipy._external.array_api_extra._lib._utils._helpers
import time:       687 |       1804 |                                 scipy._external.array_api_extra._lib._at
import time:       628 |       2431 |                               scipy._external.array_api_extra._lib._funcs
import time:       507 |       3128 |                             scipy._external.array_api_extra._delegation
import time:       226 |        226 |                             scipy._external.array_api_extra._lib._lazy
import time:       168 |       3522 |                           scipy._external.array_api_extra
import time:       297 |       3818 |                         scipy._external.array_api_extra.testing
import time:       336 |        336 |                             pkgutil
import time:      1002 |       1337 |                           pydoc
import time:       851 |       2188 |                         scipy._lib._docscrape
import time:       653 |      52683 |                       scipy._lib._array_api
import time:       471 |      53153 |                     scipy._lib._util
import time:       306 |        306 |                     scipy.sparse._data
import time:       273 |        273 |                     scipy.sparse._index
import time:       489 |      54220 |                   scipy.sparse._compressed
import time:       326 |      55091 |                 scipy.sparse._csr
import time:       247 |        247 |                 scipy.sparse._csc
import time:       640 |        640 |                   scipy.sparse._csparsetools
import time:       619 |       1259 |                 scipy.sparse._lil
import time:       353 |        353 |                 scipy.sparse._dok
import time:       530 |        530 |                 scipy.sparse._coo
import time:       382 |        382 |                 scipy.sparse._dia
import time:       341 |        341 |                 scipy.sparse._bsr
import time:       254 |        254 |                   scipy._lib.deprecation
import time:      1309 |       1562 |                 scipy.sparse._construct
import time:       346 |        346 |                 scipy.sparse._extract
import time:       222 |        222 |                 scipy.sparse._matrix_io
import time:       182 |        182 |                 scipy.sparse.base
import time:       219 |        219 |                 scipy.sparse.bsr
import time:       371 |        371 |                 scipy.sparse.compressed
import time:        94 |         94 |                 scipy.sparse.construct
